"Gmt.time","Open","High","Low","Close","Volume"
"16.01.2017 16:30:00.000",1.01153,1.0121,1.01137,1.01205,931189998.6267
"16.01.2017 16:45:00.000",1.01206,1.01225,1.01151,1.01161,710540000.9158
"16.01.2017 17:00:00.000",1.01161,1.01179,1.01076,1.01086,775940002.4413
"16.01.2017 17:15:00.000",1.01086,1.01101,1.01075,1.01095,339270002.6632
"16.01.2017 17:30:00.000",1.01094,1.01124,1.01093,1.01115,518369995.1172
"16.01.2017 17:45:00.000",1.01114,1.01137,1.01096,1.01106,342739997.8637
"16.01.2017 18:00:00.000",1.01106,1.01111,1.01098,1.01109,95730000.4958
"16.01.2017 18:15:00.000",1.01109,1.01129,1.01105,1.01124,90500001.9071
"16.01.2017 18:30:00.000",1.01125,1.0113,1.01119,1.01121,152489999.2942
"16.01.2017 18:45:00.000",1.01122,1.01166,1.01117,1.01156,410990001.2015
"16.01.2017 19:00:00.000",1.01156,1.01156,1.01128,1.01138,465980000.9726
"16.01.2017 19:15:00.000",1.01137,1.01138,1.01129,1.01131,151620000.8391
"16.01.2017 19:30:00.000",1.01131,1.01134,1.01127,1.01129,316850001.3352
"16.01.2017 19:45:00.000",1.0113,1.01141,1.01119,1.01124,476559993.7439
"16.01.2017 20:00:00.000",1.01124,1.01138,1.01111,1.0112,483260004.2819
"16.01.2017 20:15:00.000",1.0112,1.01176,1.01107,1.01172,936450000.763
"16.01.2017 20:30:00.000",1.01172,1.01176,1.01112,1.01153,618969995.9754
"16.01.2017 20:45:00.000",1.01153,1.01159,1.01105,1.01135,317740006.4468
"16.01.2017 21:00:00.000",1.01144,1.01167,1.01095,1.01133,1161899995.8037
"16.01.2017 21:15:00.000",1.01135,1.01141,1.01102,1.01118,589039998.0544
"16.01.2017 21:30:00.000",1.01116,1.01139,1.01116,1.01133,807220010.2806
"16.01.2017 21:45:00.000",1.01133,1.01164,1.01081,1.01112,836010009.7657
"16.01.2017 22:00:00.000",1.01083,1.01186,1.01058,1.01097,148520001.8883
"16.01.2017 22:15:00.000",1.01097,1.01097,1.01079,1.01092,69019999.9809
